id,source,start_t,end_t,p_ratio
8964,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,125.0,126.0,1.0
8965,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,126.0,127.0,1.0
8966,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,127.0,128.0,1.0
8967,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,128.0,129.0,1.0
8968,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,129.0,130.0,1.0
8969,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,130.0,131.0,1.0
8970,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,131.0,132.0,1.0
8971,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,132.0,133.0,0.51
8972,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,133.0,134.0,0.0
8973,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,134.0,135.0,0.0
8974,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,135.0,136.0,0.0
8975,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,136.0,137.0,0.0
8976,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,137.0,138.0,0.0
8977,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,138.0,139.0,0.0
8978,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,139.0,140.0,0.0
8979,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,140.0,141.0,0.0
8980,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,141.0,142.0,0.0
8981,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,142.0,143.0,0.5
8982,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,143.0,144.0,1.0
8983,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,144.0,145.0,1.0
8984,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,145.0,146.0,1.0
8985,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,146.0,147.0,1.0
8986,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,147.0,148.0,1.0
8987,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,148.0,149.0,1.0
8988,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,149.0,150.0,1.0
8989,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,150.0,151.0,0.02
8990,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,151.0,152.0,0.0
8991,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,152.0,153.0,0.0
8992,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,153.0,154.0,0.0
8993,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,154.0,155.0,0.0
8994,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,155.0,156.0,0.0
8995,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,156.0,157.0,0.0
8996,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,157.0,158.0,0.0
8997,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,158.0,159.0,0.0
8998,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,159.0,160.0,0.0
8999,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,160.0,161.0,0.0
9000,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,161.0,162.0,0.0
9001,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,162.0,163.0,0.0
9002,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,163.0,164.0,0.0
9003,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,164.0,165.0,0.0
9004,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,165.0,166.0,0.98
9005,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,166.0,167.0,1.0
9006,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,167.0,168.0,1.0
9007,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,168.0,169.0,1.0
9008,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,169.0,170.0,1.0
9009,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,170.0,171.0,1.0
9010,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,171.0,172.0,1.0
9011,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,172.0,173.0,1.0
9012,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,173.0,174.0,1.0
9013,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,174.0,175.0,1.0
9014,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,175.0,176.0,1.0
9015,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,176.0,177.0,1.0
9016,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,177.0,178.0,1.0
9017,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,178.0,179.0,1.0
9018,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,179.0,180.0,1.0
9019,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,180.0,181.0,1.0
9020,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,181.0,182.0,1.0
9021,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,182.0,183.0,1.0
9022,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,183.0,184.0,1.0
9023,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,184.0,185.0,1.0
9024,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,185.0,186.0,1.0
9025,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,186.0,187.0,1.0
9026,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,187.0,188.0,0.52
9027,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,188.0,189.0,0.0
9028,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,189.0,190.0,0.0
9029,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,190.0,191.0,0.0
9030,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,191.0,192.0,0.0
9031,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,192.0,193.0,0.0
9032,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,193.0,194.0,0.0
9033,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,194.0,195.0,0.0
9034,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,195.0,196.0,0.0
9035,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,196.0,197.0,0.0
9036,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,197.0,198.0,0.0
9037,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,198.0,199.0,0.0
9038,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,199.0,200.0,0.0
9039,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,200.0,201.0,0.0
9040,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,201.0,202.0,0.0
9041,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,202.0,203.0,0.0
9042,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,203.0,204.0,0.0
9043,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,204.0,205.0,0.0
9044,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,205.0,206.0,0.0
9045,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,206.0,207.0,0.0
9046,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,207.0,208.0,0.0
9047,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,208.0,209.0,0.0
9048,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,209.0,210.0,0.0
9049,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,210.0,211.0,0.0
9050,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,211.0,212.0,0.0
9051,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,212.0,213.0,0.0
9052,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,213.0,214.0,0.0
9053,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,214.0,215.0,0.0
9054,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,215.0,216.0,0.0
9055,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,216.0,217.0,0.0
9056,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,217.0,218.0,0.0
9057,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,218.0,219.0,0.0
9058,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,219.0,220.0,0.0
9059,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,220.0,221.0,0.0
9060,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,221.0,222.0,0.0
9061,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,222.0,223.0,0.0
9062,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,223.0,224.0,0.0
9063,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,224.0,225.0,0.0
9064,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,225.0,226.0,0.0
9065,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,226.0,227.0,0.0
9066,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,227.0,228.0,0.0
9067,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,228.0,229.0,0.0
9068,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,229.0,230.0,0.0
9069,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,230.0,231.0,0.0
9070,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,231.0,232.0,0.0
9071,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,232.0,233.0,0.0
9072,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,233.0,234.0,0.0
9073,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,234.0,235.0,0.0
9074,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,235.0,236.0,0.0
9075,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,236.0,237.0,0.0
9076,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,237.0,238.0,0.0
9077,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,238.0,239.0,0.0
9078,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,239.0,240.0,0.0
9079,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,240.0,241.0,1.0
9080,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,241.0,242.0,1.0
9081,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,242.0,243.0,1.0
9082,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,243.0,244.0,1.0
9083,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,244.0,245.0,1.0
9084,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,245.0,246.0,1.0
9085,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,246.0,247.0,1.0
9086,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,247.0,248.0,0.49
9087,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,248.0,249.0,0.0
9088,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,249.0,250.0,0.0
9089,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,250.0,251.0,0.0
9090,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,251.0,252.0,0.0
9091,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,252.0,253.0,0.0
9092,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,253.0,254.0,0.0
9093,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,254.0,255.0,0.0
9094,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,255.0,256.0,0.0
9095,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,256.0,257.0,0.0
9096,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,257.0,258.0,0.0
9097,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,258.0,259.0,0.0
9098,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,259.0,260.0,0.0
9099,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,260.0,261.0,0.0
9100,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,261.0,262.0,0.0
9101,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,262.0,263.0,0.0
9102,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,263.0,264.0,0.0
9103,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,264.0,265.0,0.0
9104,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,265.0,266.0,0.0
9105,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,266.0,267.0,0.0
9106,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,267.0,268.0,0.48
9107,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,268.0,269.0,1.0
9108,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,269.0,270.0,1.0
9109,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,270.0,271.0,1.0
9110,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,271.0,272.0,1.0
9111,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,272.0,273.0,1.0
9112,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,273.0,274.0,1.0
9113,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,274.0,275.0,1.0
9114,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,275.0,276.0,1.0
9115,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,276.0,277.0,1.0
9116,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,277.0,278.0,1.0
9117,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,278.0,279.0,1.0
9118,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,279.0,280.0,1.0
9119,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,280.0,281.0,0.0
9120,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,281.0,282.0,0.0
9121,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,282.0,283.0,0.0
9122,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,283.0,284.0,0.0
9123,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,284.0,285.0,0.0
9124,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,285.0,286.0,0.0
9125,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,286.0,287.0,0.0
9126,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,287.0,288.0,0.48
9127,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,288.0,289.0,1.0
9128,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,289.0,290.0,1.0
9129,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,290.0,291.0,1.0
9130,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,291.0,292.0,1.0
9131,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,292.0,293.0,1.0
9132,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,293.0,294.0,1.0
9133,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,294.0,295.0,1.0
9134,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,295.0,296.0,1.0
9135,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,296.0,297.0,1.0
9136,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,297.0,298.0,0.5
9137,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,298.0,299.0,0.0
9138,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,299.0,300.0,0.0
9139,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,300.0,301.0,0.0
9140,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,301.0,302.0,0.0
9141,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,302.0,303.0,0.47
9142,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,303.0,304.0,1.0
9143,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,304.0,305.0,1.0
9144,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,305.0,306.0,1.0
9145,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,306.0,307.0,1.0
9146,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,307.0,308.0,1.0
9147,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,308.0,309.0,1.0
9148,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,309.0,310.0,1.0
9149,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,310.0,311.0,1.0
9150,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,311.0,312.0,1.0
9151,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,312.0,313.0,1.0
9152,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,313.0,314.0,1.0
9153,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,314.0,315.0,1.0
9154,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,315.0,316.0,0.01
9155,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,316.0,317.0,0.0
9156,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,317.0,318.0,0.0
9157,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,318.0,319.0,0.0
9158,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,319.0,320.0,0.0
9159,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,320.0,321.0,0.0
9160,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,321.0,322.0,0.0
9161,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,322.0,323.0,0.0
9162,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,323.0,324.0,0.0
9163,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,324.0,325.0,0.0
9164,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,325.0,326.0,0.0
9165,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,326.0,327.0,0.0
9166,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,327.0,328.0,0.0
9167,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,328.0,329.0,0.0
9168,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,329.0,330.0,0.0
9169,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,330.0,331.0,0.0
9170,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,331.0,332.0,0.0
9171,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,332.0,333.0,0.0
9172,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,333.0,334.0,0.0
9173,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,334.0,335.0,0.0
9174,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,335.0,336.0,0.0
9175,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,336.0,337.0,0.0
9176,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,337.0,338.0,0.0
9177,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,338.0,339.0,0.0
9178,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,339.0,340.0,0.0
9179,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,340.0,341.0,0.0
9180,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,341.0,342.0,0.0
9181,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,342.0,343.0,0.0
9182,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,343.0,344.0,0.0
9183,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,344.0,345.0,0.04
9184,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,345.0,346.0,1.0
9185,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,346.0,347.0,1.0
9186,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,347.0,348.0,1.0
9187,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,348.0,349.0,1.0
9188,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,349.0,350.0,1.0
9189,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,350.0,351.0,1.0
9190,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,351.0,352.0,1.0
9191,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,352.0,353.0,1.0
9192,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,353.0,354.0,1.0
9193,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,354.0,355.0,1.0
9194,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,355.0,356.0,1.0
9195,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,356.0,357.0,1.0
9196,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,357.0,358.0,1.0
9197,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,358.0,359.0,1.0
9198,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,359.0,360.0,1.0
9199,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,360.0,361.0,1.0
9200,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,361.0,362.0,1.0
9201,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,362.0,363.0,1.0
9202,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,363.0,364.0,1.0
9203,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,364.0,365.0,1.0
9204,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,365.0,366.0,0.06
9205,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,366.0,367.0,0.0
9206,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,367.0,368.0,0.0
9207,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,368.0,369.0,0.0
9208,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,369.0,370.0,0.0
9209,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,370.0,371.0,0.0
9210,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,371.0,372.0,0.0
9211,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,372.0,373.0,0.42
9212,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,373.0,374.0,1.0
9213,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,374.0,375.0,1.0
9214,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,375.0,376.0,1.0
9215,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,376.0,377.0,1.0
9216,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,377.0,378.0,1.0
9217,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,378.0,379.0,1.0
9218,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,379.0,380.0,1.0
9219,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,380.0,381.0,1.0
9220,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,381.0,382.0,1.0
9221,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,382.0,383.0,1.0
9222,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,383.0,384.0,1.0
9223,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,384.0,385.0,1.0
9224,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,385.0,386.0,1.0
9225,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,386.0,387.0,1.0
9226,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,387.0,388.0,1.0
9227,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,388.0,389.0,1.0
9228,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,389.0,390.0,1.0
9229,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,390.0,391.0,1.0
9230,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,391.0,392.0,1.0
9231,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,392.0,393.0,1.0
9232,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,393.0,394.0,1.0
9233,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,394.0,395.0,1.0
9234,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,395.0,396.0,1.0
9235,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,396.0,397.0,1.0
9236,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,397.0,398.0,1.0
9237,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,398.0,399.0,1.0
9238,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,399.0,400.0,1.0
9239,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,400.0,401.0,1.0
9240,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,401.0,402.0,1.0
9241,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,402.0,403.0,0.4
9242,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,403.0,404.0,0.0
9243,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,404.0,405.0,0.0
9244,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,405.0,406.0,0.0
9245,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,406.0,407.0,0.0
9246,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,407.0,408.0,0.0
9247,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,408.0,409.0,0.0
9248,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,409.0,410.0,0.0
9249,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,410.0,411.0,0.0
9250,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,411.0,412.0,0.0
9251,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,412.0,413.0,0.0
9252,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,413.0,414.0,0.0
9253,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,414.0,415.0,0.0
9254,Hive1_12_06_2018_QueenBee_H1_audio___15_00_00.wav,415.0,416.0,0.0
